name,dosage,description
Frontline,0.67ml,Used for flea and tick prevention
Heartgard,1mg,Used for heartworm prevention
Cerenia,24mg,Used for nausea and vomiting
Rimadyl,75mg,Used for pain and inflammation
Apoquel,16mg,Used for itching and allergies
Metronidazole,250mg,Used for gastrointestinal infections
Revolution,0.25ml,"Used for flea, tick, and heartworm prevention"
Doxycycline,100mg,Used for bacterial infections
Furosemide,20mg,Used for heart failure and edema
Benadryl,25mg,Used for allergic reactions
